Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D10","LED","LEXTAR-PC35H13-V1",26.000000,-25.500000,90.000000,top
"D11","LED","LEXTAR-PC35H13-V1",51.000000,-25.500000,90.000000,top
"D12","LED","LEXTAR-PC35H13-V1",76.000000,-25.500000,90.000000,top
"D13","LED","LEXTAR-PC35H13-V1",121.000000,-25.500000,90.000000,top
"D14","LED","LEXTAR-PC35H13-V1",143.500000,-25.500000,90.000000,top
"D15","LED","LEXTAR-PC35H13-V1",166.000000,-25.500000,90.000000,top
"D16","LED","LEXTAR-PC35H13-V1",188.500000,-25.500000,90.000000,top
"D17","LED","LEXTAR-PC35H13-V1",211.000000,-25.500000,90.000000,top
"D18","LED","LEXTAR-PC35H13-V1",233.500000,-25.500000,90.000000,top
"D19","LED","LEXTAR-PC35H13-V1",256.000000,-25.500000,90.000000,top
"R10","300","R_1206",26.000000,-37.000000,90.000000,top
"R11","300","R_1206",51.000000,-37.000000,90.000000,top
"R12","300","R_1206",76.000000,-37.000000,90.000000,top
"R13","300","R_1206",121.000000,-37.000000,90.000000,top
"R14","300","R_1206",143.500000,-37.000000,90.000000,top
"R15","300","R_1206",166.000000,-37.000000,90.000000,top
"R16","300","R_1206",188.500000,-37.000000,90.000000,top
"R17","300","R_1206",211.000000,-37.000000,90.000000,top
"R18","300","R_1206",233.500000,-37.000000,90.000000,top
"R19","300","R_1206",256.000000,-37.000000,90.000000,top
